Species,Family,Anterior.SpMean,Posterior.SpMean,Lingual.SpMean,Labial.SpMean,Tip.Av.SpMean,Length,SHSpM.PC1,SHSpM.PC2,SHSpM.PC3,SHSpM.PC3.1,GMSpM.PC1,GMSpM.PC2,GMSpM.PC3,GMSpM.PC4,GMSpM.PC5,GMSpM.PC6,GMSpM.PC7,GMSpM.PC8,Midline.length,log.Midline.length,Csize.SpMean,Base.area.SpMean,sqrt.Base.area.SpMean,Lateral.width.SpMean,Body.mass,logBody.mass,loglogBodyMass.residual
Dasyurus_hallucatus,Dasyuridae,18.47,14.541,21.657,20.319,15.821,3.28,0.443564,0.469254991,0.143116627,-0.186887472,-0.05323766,-0.013691823,0.021414141,0.011767037,0.024306616,0.019270101,0.008173951,0.005324271,3.28,0.515873844,6.930578332,2.47977029,1.57472864,1.64,525,2.720159303,-0.076209046
Dasyurus_maculatus,Dasyuridae,20.829,14.749,17.283,19.317,13.953,5.407,-1.195904857,0.251955798,-1.071063123,-0.706570339,-0.020312222,-0.002684869,0.00939274,0.019190482,0.024507861,-0.005785415,-0.01053718,-0.004663126,5.407,0.73295637,11.16841874,5.86536702,2.421851981,2.57,5500,3.740362689,-0.157933602
Didelphis_marsupialis,Didelphidae,17.408,15.937,22.975,21.875,16.532,4.311,0.718192725,-0.445853561,-0.454188192,1.15948837,-0.107509401,0.012491883,-0.057060683,-0.048722604,0.004556246,0.008760915,-0.017389203,-0.00415827,4.311,0.634578023,9.59985006,5.38248124,2.320017509,2.16,1091.2,3.037904357,-0.050569126
Eira_barbara,Mustelidae,19.332,16.288,17.09,19.525,14.805,10.628,0.212941969,-0.012730629,-0.56289995,-0.972372189,-0.045771507,0.053124723,-0.007684126,-0.020416681,-0.028531346,-0.002338183,-0.009299436,-0.005196847,10.628,1.026451546,22.38745887,25.9858659,5.097633363,4.7,3910,3.592176757,0.17896371
Gulo_gulo,Mustelidae,20.437,21.453,12.888,23.491,16.745,10.369,0.440930997,-0.303443999,-0.422949244,0.066131243,-0.147186441,-0.020182681,0.002453877,0.018699732,0.009392855,-0.008561893,-0.001324915,-0.00815213,10.369,1.015736874,23.54161133,37.5031698,6.123983165,6.19,17012.55,4.230769415,-0.018788186
Herpestes_ichneumon,Herpestidae,19.43,15.532,18.473,20.578,17.682,5.561,0.645104544,-0.371128188,-0.500701906,0.25488099,-0.12148808,0.038473631,0.031680553,0.013505723,0.009581122,0.001470278,0.004023721,0.008024184,5.561,0.745152895,12.41326395,9.05743796,3.009557768,2.93,5175,3.713910354,-0.13798946
Herpestes_urva,Herpestidae,20.32533333,17.14466667,16.76066667,19.86,16.13233333,6.572666667,1.279073887,-0.151815865,-0.385544471,0.069493122,-0.060812261,0.035338875,-0.00615416,0.001366602,-0.00838329,-0.018047236,-0.020532045,-0.001806822,6.572666667,0.817450213,13.90505977,9.947667567,3.153960559,3.106666667,1863.2,3.270259476,0.064248638
Hyaena_hyaena,Hyaenidae,21.297,13.586,14.8455,20.611,14.881,21.109,-0.604703284,-0.288211963,0.646418603,0.39357822,-0.024392943,0.042653886,-0.008522389,0.004302797,0.009775089,-0.003811911,0.003458832,0.009437109,21.109,1.324440974,43.49345691,90.53464655,9.506525554,9.605,41705.1,4.620189167,0.175858873
Ichneumia_albicauda,Herpestidae,19.488,15.618,17.578,21.221,16.47,7.503,-0.223259207,1.167565416,0.698033498,-1.013292399,-0.008472082,0.039264275,-0.008265561,-0.034492126,-0.011392113,-0.005202386,-0.007027868,0.002137447,7.503,0.875234946,15.39496208,10.638772,3.261713047,3.05,3500,3.544068044,0.041837657
Lutra_lutra,Mustelidae,18.6,20.719,14.759,23.254,15.017,8.177,-0.986015501,-0.487818506,-0.694297855,0.67531118,-0.067369126,-0.004690697,0.005127702,0.020590461,0.003531989,-0.01899269,0.010453481,-0.013870474,8.177,0.912593998,17.35072003,17.1002026,4.135239122,4.2,8785.133333,3.943748357,-0.037865545
Lycaon_pictus,Canidae,22.165,16.779,13.037,22.087,15.30601702,13.762,-0.619679596,0.413920692,-1.176834865,0.247611965,0.011675913,-0.004967202,-0.068708463,0.006728584,0.026207281,-0.02252323,0.010616913,0.003742529,13.762,1.138681554,28.15423018,34.8652244,5.904678179,5.97,22050.1,4.343410563,0.07116506
Lynx_canadensis,Felidae,20.0855,14.2025,17.4685,16.834,14.757,13.379,0.07298262,0.013481105,-0.334333368,-0.074769408,0.050976182,0.015262223,-0.004532029,-0.010718565,-0.005060933,-0.010278351,0.024034614,-0.00480097,13.379,1.123323128,26.28663135,29.0380006,5.279038322,5.2,9373.2,3.971887884,0.164621807
Lynx_rufus,Felidae,20.706,12.80366667,18.22266667,16.56266667,14.23033333,10.77533333,-0.937822611,-0.391038536,-0.543828124,0.289040122,0.026775251,0.028877807,-0.019200347,0.003000263,-0.007598816,-0.004143557,0.003656994,0.002075455,10.77533333,1.03135076,21.55289548,20.18864793,4.487483774,4.593333333,8904.1,3.949590029,0.079180251
Martes_americana,Mustelidae,20.469,18.165,14.549,19.543,15.911,5.958,0.703246405,-0.73459871,-0.492117427,-0.979025075,0.008079327,0.046330438,0.019775311,0.036952585,-0.000272,-0.011805528,-0.016366163,-0.009410695,5.958,0.775100499,12.06053354,6.27971781,2.505936514,2.47,1250,3.096910013,0.0726712
Martes_pennanti,Mustelidae,18.394,17.122,16.407,21.286,15.335,9.268,-0.806735809,-1.058851638,0.498394801,-0.419550655,-0.004314294,0.037395677,0.042144112,0.029416943,-0.006485935,0.007886382,-0.005673327,-0.014486419,9.268,0.966986025,18.8027696,15.785292,3.973070853,3.85,4000,3.602059991,0.116603491
Meles_meles,Mustelidae,14.23,16.482,24.984,24.367,15.549,6.296,-0.7585356,-0.698023438,1.079718,-0.794854613,-0.130098841,-0.077369844,-0.015330583,-0.040767614,0.034403526,0.006655989,0.019916138,-0.000582,6.296,0.799064719,14.29718461,13.2495263,3.639989876,3.26,13000,4.113943352,-0.201243188
Mephitis_mephitis,Mustelidae,18.91,19.6685,22.9515,20.614,16.455,4.624,-0.656374353,0.107822896,-0.151994813,-0.2288312,-0.048819565,0.013818225,0.01590793,0.003412073,-0.017365545,0.029168747,-0.010583368,-0.005670251,4.624,0.656478938,9.655181921,4.759451865,2.172448674,2.09,2085,3.319106059,-0.111029299
Mungos_mungo,Herpestidae,19.652,17.12633333,22.11966667,19.74366667,16.09566667,4.507333333,-0.924588367,-0.90177752,0.805223188,-0.676993543,-0.039996959,0.022273287,0.006729042,-0.002640908,0.002093025,-0.001499356,-0.020666728,0.014139045,4.507333333,0.653684108,9.42410954,4.20089783,2.049271569,2.026666667,1925,3.284430734,-0.103668083
Mustela_putorius,Mustelidae,21.4665,20.9285,18.5725,20.798,15.9795,3.821,-0.538901246,0.02855115,0.509272616,-0.50281951,-0.049337025,0.019386952,-0.009949411,0.05490652,-0.004548032,-0.037550762,-0.011509646,-0.003746542,3.821,0.577861467,8.011408784,3.46090472,1.854079355,2.04,915.4,2.961610908,-0.084940116
Nyctereutes_procyonoides,Canidae,19.906,17.866,16.773,21.454,17.45669013,6.434,-0.126105432,0.471569835,-0.769507991,-0.138929041,-0.024366754,-0.034891864,-0.001536489,-0.012657856,-0.00611034,0.011116472,-0.010496193,0.004129023,6.434,0.808481057,13.36569534,8.90336938,2.983851434,2.78,4040,3.606381365,-0.043167163
Panthera_leo,Felidae,19.149,11.8395,15.2905,19.605,13.43695512,26.2395,1.084942328,-0.512020922,-0.787255015,-0.409707027,-0.009194509,-0.007431878,-0.023291164,-0.005714576,-0.015170577,-0.018407542,0.009441677,-0.000869,26.2395,1.418933155,53.62212198,137.744255,11.73603705,11.96,161499.1,5.208170106,0.098137482
Panthera_onca,Felidae,20.03,17.028,15.476,18.555,13.83735966,18.182,-0.051933007,0.718169178,-0.247092403,1.775595677,0.022190762,0.015756311,-0.028117713,0.005858673,-0.009728182,-0.014429542,0.019642481,0.007153607,18.182,1.259641653,36.28759094,58.0494767,7.619020718,7.63,1.00E+05,5,-0.000183136
Panthera_pardus,Felidae,19.413,13.491,19.7925,18.8975,13.98255894,18.0935,0.897962161,0.176028335,-0.109400405,0.325231856,0.013350412,0.028137034,-0.016270648,-0.009514084,-0.019265299,-0.014508692,0.004459503,0.00359769,18.0935,1.256252947,36.52775136,59.68649005,7.697622064,7.885,52038.23333,4.716322544,0.079514368
Panthera_tigris,Felidae,19.63266667,14.276,20.29233333,19.96866667,13.68263448,28.22766667,0.671532083,-0.113080315,0.168332611,0.736714372,-0.011508311,-0.015217949,-0.034268751,-0.004999818,-0.003107382,-0.007653409,0.014809198,0.004489179,28.22766667,1.446135062,58.04870763,165.749887,12.80920278,13.26333333,162564,5.211024377,0.124503403
Paradoxurus_hermaphroditus,Viverridae,19.8705,14.1315,16.606,18.513,14.8295,7.769,1.325242268,0.765250683,0.256783672,1.002757478,-0.023275275,0.052451986,-0.01075578,-0.015978654,-0.020774649,-0.008015883,-0.003230835,0.003602759,7.769,0.890360715,16.00336508,11.9910901,3.462282808,3.06,3113.35,3.493227946,0.071853968
Pardofelis_marmorata,Felidae,18.945,14.619,19.111,16.515,13.775,8.886,-0.429608666,-1.077008691,0.716311013,-0.062461284,-0.006757411,0.040466736,-0.028164703,-0.023177913,-0.026558924,-0.010793807,0.012204792,0.005237303,8.886,0.948706309,18.15297225,15.9384238,3.992295555,3.97,2854.25,3.45549201,0.14125203
Procyon_cancrivorus,Procyonidae,22.948,13.357,15.877,18.572,15.972,10.488,0.254952908,-1.301451958,0.316434662,1.114157808,-0.070361675,-0.026040828,-0.004777795,-0.007220287,0.004584118,-0.025905075,0.019804724,0.009776219,10.488,1.020692679,22.54418278,28.7255651,5.359623597,5.64,6949.9,3.841978556,0.100040464
Procyon_lotor,Procyonidae,21.196,13.9585,16.3505,22.606,15.1475,8.0875,-0.183511322,-0.632657399,0.120316911,0.923195224,-0.013317625,-0.002308578,-0.013636686,-0.017756709,-0.002855593,-0.005461203,0.013063866,0.010224799,8.0875,0.90715142,16.5706143,14.44313495,3.799346439,3.745,5525,3.742332282,0.015684574
Sarcophilus_harrisii,Dasyuridae,21.888,16.57033333,19.00633333,19.62,14.72733333,12.74566667,-0.342223617,-0.904797579,0.569558517,0.674370536,-0.066253717,0.04465321,-0.014493713,0.033897216,0.011948667,-0.010145501,0.007788227,-0.000736,12.74566667,1.105332875,27.15981023,40.428366,6.357231073,6.806666667,10000,4,0.138397804
Suricata_suricatta,Herpestidae,19.762,14.847,20.4,18.101,15.296,5.209,-0.181107461,-1.132868618,-0.084666176,0.407136727,-0.005420766,0.049981034,-0.03718292,-0.008076473,0.002375789,0.027704726,0.012439581,0.007247133,5.209,0.716754357,10.69821136,5.28338524,2.298561559,2.37,725.5,2.860637417,0.083526872
Taxidea_taxus,Mustelidae,19.061,20.909,20.661,15.69,14.484,10.161,-0.130950459,-0.803452863,0.482673909,0.8277473,0.024509331,-0.002833601,-0.030098735,-0.007151174,-0.004354238,0.005891169,-0.015648209,-0.046648953,10.161,1.006936451,20.15870302,17.8851689,4.22908606,4.25,7107.6,3.851722979,0.083430195
Thylacinus_cynocephalus,Thylacinidae,19.415,18.0525,22.9405,21.604,15.4295,12.32,0.23149788,-1.067818106,0.270492618,0.847934177,-0.036675803,0.040338805,-0.03055227,-0.009009968,0.01734473,0.01815273,-0.005028124,-0.00222308,12.32,1.09054518,25.67759195,32.81045955,5.709011461,5.63,30000,4.477121255,-0.016133801
Ursus_americanus,Urside,22.806,16.0005,15.208,21.9495,14.753,20.372,-0.746658493,-0.499935244,0.286745545,-0.013453287,-0.027704006,0.003759241,-0.030171604,0.014936795,-0.023744257,0.009807729,0.001259299,0.000184,20.372,1.308979074,42.31279899,94.70650545,9.727719256,9.79,99949.4,4.999780191,0.049218665
Ursus_arctos,Urside,20.947,17.6735,18.5785,22.7815,14.9555,21.2595,0.665110034,-0.928640527,-0.659720608,-0.918042277,-0.048287652,0.005416852,-0.020494313,0.01299755,-0.01997421,0.002083775,0.011728811,-0.008489979,21.2595,1.326585523,51.95708174,140.0348005,11.77548703,11.675,172720.4,5.237343635,-0.002754776
Ursus_maritimus,Urside,20.733,17.9285,17.237,22.4485,14.58,28.3145,0.875974902,-1.208629252,-0.583097215,-1.221010117,-0.027475273,0.016369417,-0.014555438,0.014300035,-0.020817093,-0.001486873,0.012409365,-0.006658221,28.3145,1.451210321,58.21099717,179.4149245,13.38572608,13.745,388750.35,5.589670793,0.01867702
Viverra_tangalunga,Viverridae,21.591,20.923,20.449,25.176,15.589,7.554,-0.620369723,-0.094667334,-0.501270968,-0.116295037,0.001749017,0.025908563,-0.001372267,0.01304067,-0.000785,0.013411815,-0.007273494,-0.00310288,7.554,0.87817698,15.31480555,10.5800735,3.252702492,3.25,8675,3.938269483,-0.070677857
Viverra_zibetha,Viverridae,20.506,14.335,18.513,24.593,15.179,8.607,0.04767831,-0.244693609,0.724608019,-0.444826709,-0.008313768,0.026982122,-0.009823807,-0.031292639,0.002776067,-0.002823606,-0.015885377,-0.004566805,8.607,0.934851803,17.69233172,13.9429092,3.734020514,3.49,9500,3.977723605,-0.025558741
Vulpes_lagopus,Canidae,22.772,14.366,15.549,22.037,15.997,7.928,0.750207328,-0.278447237,0.446680218,0.263047205,0.028930858,-0.021458603,-0.019341448,0.020476169,0.023018963,-0.029220527,-0.016419631,0.014275876,7.928,0.899163641,15.94524861,9.94500239,3.153569785,3.4,4867.65,3.687319343,0.023809519
Vulpes_vulpes,Canidae,21.50666667,14.83233333,15.489,21.37133333,14.94433333,10.959,0.766376344,0.127192185,-0.10777006,-0.269858124,0.068385908,0.039552603,-0.000366,0.005059467,0.001271583,-0.006049926,-0.008881476,-0.010692962,10.959,1.039481664,21.37271538,16.1696276,4.018630831,4.133333333,5603.75,3.748478752,0.14621458
